source,department,count,percentage,is_canonical,is_missing
chatdoctor_healthcaremagic,,111976,100.0,False,True
chatdoctor_icliniq,,7321,100.0,False,True
fedmml_ed_triage,ED,84177,100.0,True,False
kaggle_medical_triage,,2,100.0,False,True
l3cube_code_mixed,,43924,100.0,False,True
meddialog_en,,1,100.0,False,True
medical_meadow_medqa,,10178,100.0,False,True
medqa_usmle,,14367,100.0,False,True
mtsamples,SURGERY,988,41.67018135807676,True,False
mtsamples,GEN_MED,762,32.1383382539013,True,False
mtsamples,RENAL_URO,178,7.507380851961198,True,False
mtsamples,ORTHO,78,3.2897511598481652,True,False
mtsamples,NEURO,68,2.867988190636862,True,False
mtsamples,PEDS,52,2.193167439898777,True,False
mtsamples,PSYCH,51,2.1509911429776465,True,False
mtsamples,CARDIO_PULM,43,1.8135807676086038,True,False
mtsamples,GI,41,1.7292281737663433,True,False
mtsamples,ENT_OPHTHALMO,36,1.5183466891606916,True,False
mtsamples,ONCOLOGY_HEME,31,1.3074652045550401,True,False
mtsamples,OBGYN,26,1.0965837199493884,True,False
mtsamples,ED,17,0.7169970476592155,True,False
neiss,ORTHO,2217029,31.06240294877405,True,False
neiss,ENT_OPHTHALMO,1800160,25.22172479127025,True,False
neiss,,1587986,22.248992236462357,False,True
neiss,PEDS,925844,12.97183726315928,True,False
neiss,NEURO,529523,7.419053515602944,True,False
neiss,CARDIO_PULM,76797,1.0759892447311246,True,False
nhamcs_ed,ED,41509,100.0,True,False
pmc_patients,,167034,100.0,False,True
symptom2disease,GEN_MED,440,38.161318300086734,True,False
symptom2disease,ENT_OPHTHALMO,246,21.335646140503037,True,False
symptom2disease,CARDIO_PULM,196,16.99913269731136,True,False
symptom2disease,ORTHO,95,8.23937554206418,True,False
symptom2disease,GI,79,6.851691240242845,True,False
symptom2disease,RENAL_URO,50,4.336513443191674,True,False
symptom2disease,NEURO,47,4.076322636600174,True,False
